Date,Price,,,,,
5/26/2014,77.63,,,,,
5/27/2014,77.6,,,,,
5/28/2014,77.57,,,,,
5/29/2014,77.63,,,,,
5/30/2014,77.61,,,,,
6/2/2014,77.6,,,,,
6/3/2014,77.6,,,,,
6/4/2014,77.67,,,,,
6/5/2014,77.63,,,,,
6/6/2014,77.63,,,,,
6/9/2014,77.67,,,,,
6/10/2014,77.67,,,,,
6/11/2014,77.77,,,,,
6/12/2014,77.77,,,,,
6/13/2014,77.73,,,,,
6/16/2014,77.77,,,,,
6/17/2014,77.78,,,,,
6/18/2014,77.63,,,,,
6/19/2014,77.6,,,,,
6/20/2014,77.58,,,,,
6/23/2014,77.55,,,,,
6/24/2014,77.78,,,,,
6/25/2014,77.79,,,,,
6/26/2014,77.79,,,,,
6/27/2014,77.77,,,,,
6/30/2014,77.77,,,,,
7/1/2014,77.77,,,,,
7/2/2014,77.78,,,,,
7/3/2014,77.79,,,,,
7/4/2014,77.79,,,,,
7/7/2014,77.8,,,,,
7/8/2014,77.75,,,,,
7/9/2014,77.8,,,,,
7/10/2014,77.75,,,,,
7/11/2014,77.75,,,,,
7/14/2014,77.73,,,,,
7/15/2014,77.73,,,,,
7/16/2014,77.71,,,,,
7/17/2014,77.67,,,,,
7/18/2014,77.65,,,,,
7/21/2014,77.72,,,,,
7/22/2014,77.68,,,,,
7/23/2014,77.65,,,,,
7/24/2014,77.63,,,,,
7/25/2014,77.63,,,,,
7/28/2014,77.62,,,,,
7/29/2014,77.58,,,,,
7/30/2014,77.58,,,,,
7/31/2014,77.57,,,,,
8/1/2014,77.55,,,,,
8/4/2014,77.65,,,,,
8/5/2014,77.73,,,,,
8/6/2014,77.72,,,,,
8/7/2014,77.7,,,,,
8/8/2014,77.68,,,,,
8/11/2014,77.71,,,,,
8/12/2014,77.72,,,,,
8/13/2014,77.68,,,,,
8/14/2014,77.65,,,,,
8/15/2014,77.65,,,,,
8/18/2014,77.65,,,,,
8/19/2014,77.67,,,,,
8/20/2014,77.65,,,,,
8/21/2014,77.63,,,,,
8/22/2014,77.6,,,,,
8/25/2014,77.6,,,,,
8/26/2014,77.64,,,,,
8/27/2014,77.29,,,,,
8/28/2014,77.28,,,,,
8/29/2014,77.27,,,,,
9/1/2014,77.6,,,,,
9/2/2014,77.6,,,,,
9/3/2014,77.6,,,,,
9/4/2014,77.6,,,,,
9/5/2014,77.6,,,,,
9/8/2014,77.41,,,,,
9/9/2014,77.425,,,,,
9/10/2014,77.57,,,,,
9/11/2014,77.58,,,,,
9/12/2014,77.25,,,,,
9/15/2014,77.26,,,,,
9/16/2014,77.425,,,,,
9/17/2014,77.58,,,,,
9/18/2014,77.57,,,,,
9/19/2014,77.425,,,,,
9/22/2014,77.395,,,,,
9/23/2014,77.375,,,,,
9/24/2014,77.355,,,,,
9/25/2014,77.39,,,,,
9/26/2014,77.375,,,,,
9/29/2014,77.275,,,,,
9/30/2014,77.445,,,,,
10/1/2014,77.37,,,,,
10/2/2014,77.35,,,,,
10/3/2014,77.425,,,,,
10/6/2014,77.425,,,,,
10/7/2014,77.425,,,,,
10/8/2014,77.455,,,,,
10/9/2014,77.455,,,,,
10/10/2014,77.455,,,,,
10/13/2014,77.37,,,,,
10/14/2014,77.38,,,,,
10/15/2014,77.3,,,,,
10/16/2014,77.375,,,,,
10/17/2014,77.375,,,,,
10/20/2014,77.425,,,,,
10/21/2014,77.425,,,,,
10/22/2014,77.455,,,,,
10/23/2014,77.455,,,,,
10/24/2014,77.455,,,,,
10/27/2014,77.425,,,,,
10/28/2014,77.425,,,,,
10/29/2014,77.425,,,,,
10/30/2014,77.425,,,,,
10/31/2014,77.425,,,,,
11/3/2014,77.395,,,,,
11/4/2014,77.325,,,,,
11/5/2014,77.325,,,,,
11/6/2014,77.325,,,,,
11/7/2014,77.325,,,,,
11/10/2014,77.325,,,,,
11/11/2014,77.305,,,,,
11/12/2014,77.325,,,,,
11/13/2014,77.325,,,,,
11/14/2014,77.325,,,,,
11/17/2014,77.325,,,,,
11/18/2014,77.325,,,,,
11/19/2014,77.325,,,,,
11/20/2014,77.325,,,,,
11/21/2014,77.325,,,,,
11/24/2014,77.305,,,,,
11/25/2014,77.305,,,,,
11/26/2014,77.305,,,,,
11/27/2014,77.305,,,,,
11/28/2014,77.305,,,,,
12/1/2014,77.325,,,,,
12/2/2014,77.325,,,,,
12/3/2014,77.305,,,,,
12/4/2014,77.325,,,,,
12/5/2014,77.295,,,,,
12/8/2014,77.325,,,,,
12/9/2014,77.325,,,,,
12/10/2014,77.325,,,,,
12/11/2014,77.295,,,,,
12/12/2014,77.325,,,,,
12/15/2014,77.325,,,,,
12/16/2014,77.325,,,,,
12/17/2014,77.305,,,,,
12/18/2014,77.325,,,,,
12/19/2014,77.325,,,,,
12/22/2014,77.975,,,,,
12/23/2014,77.955,,,,,
12/24/2014,77.945,,,,,
12/25/2014,77.945,,,,,
12/26/2014,77.925,,,,,
12/29/2014,77.925,,,,,
12/30/2014,77.895,,,,,
12/31/2014,77.925,,,,,
1/1/2015,77.925,,,,,
1/2/2015,77.895,,,,,
1/5/2015,77.875,,,,,
1/6/2015,78.005,,,,,
1/7/2015,77.875,,,,,
1/8/2015,77.875,,,,,
1/9/2015,77.875,,,,,
1/12/2015,77.825,,,,,
1/13/2015,77.875,,,,,
1/14/2015,77.845,,,,,
1/15/2015,77.855,,,,,
1/16/2015,77.875,,,,,
1/19/2015,77.855,,,,,
1/20/2015,77.875,,,,,
1/21/2015,77.875,,,,,
1/22/2015,77.875,,,,,
1/23/2015,77.875,,,,,
1/26/2015,77.865,,,,,
1/27/2015,77.795,,,,,
1/28/2015,77.875,,,,,
1/29/2015,77.475,,,,,
1/30/2015,77.475,,,,,
2/2/2015,77.825,,,,,
2/3/2015,77.825,,,,,
2/4/2015,77.825,,,,,
2/5/2015,77.875,,,,,
2/6/2015,77.875,,,,,
2/9/2015,77.875,,,,,
2/10/2015,77.855,,,,,
2/11/2015,77.875,,,,,
2/12/2015,77.875,,,,,
2/13/2015,77.875,,,,,
2/16/2015,77.895,,,,,
2/17/2015,77.905,,,,,
2/18/2015,77.925,,,,,
2/19/2015,77.925,,,,,
2/20/2015,77.925,,,,,
2/23/2015,77.905,,,,,
2/24/2015,77.925,,,,,
2/25/2015,77.905,,,,,
2/26/2015,77.905,,,,,
2/27/2015,77.925,,,,,
3/2/2015,77.905,,,,,
3/3/2015,77.905,,,,,
3/4/2015,77.905,,,,,
3/5/2015,77.825,,,,,
3/6/2015,77.805,,,,,
3/9/2015,77.775,,,,,
3/10/2015,77.925,,,,,
3/11/2015,77.925,,,,,
3/12/2015,77.925,,,,,
3/13/2015,77.925,,,,,
3/16/2015,77.925,,,,,
3/17/2015,77.925,,,,,
3/18/2015,77.925,,,,,
3/19/2015,77.905,,,,,
3/20/2015,77.925,,,,,
3/23/2015,77.925,,,,,
3/24/2015,77.925,,,,,
3/25/2015,77.925,,,,,
3/26/2015,77.925,,,,,
3/27/2015,77.925,,,,,
3/30/2015,77.925,,,,,
3/31/2015,77.925,,,,,
4/1/2015,77.925,,,,,
4/2/2015,77.905,,,,,
4/3/2015,77.925,,,,,
4/6/2015,77.925,,,,,
4/7/2015,77.925,,,,,
4/8/2015,77.925,,,,,
4/9/2015,77.925,,,,,
4/10/2015,77.905,,,,,
4/13/2015,77.905,,,,,
4/14/2015,77.925,,,,,
4/15/2015,77.905,,,,,
4/16/2015,77.865,,,,,
4/17/2015,77.855,,,,,
4/20/2015,77.905,,,,,
4/21/2015,77.905,,,,,
4/22/2015,77.905,,,,,
4/23/2015,77.905,,,,,
4/24/2015,77.905,,,,,
4/27/2015,77.905,,,,,
4/28/2015,77.925,,,,,
4/29/2015,77.905,,,,,
4/30/2015,77.925,,,,,
5/1/2015,77.905,,,,,
5/4/2015,77.925,,,,,
5/5/2015,77.925,,,,,
5/6/2015,77.905,,,,,
5/7/2015,77.875,,,,,
5/8/2015,77.925,,,,,
5/11/2015,77.875,,,,,
5/12/2015,77.875,,,,,
5/13/2015,77.855,,,,,
5/14/2015,77.925,,,,,
5/15/2015,77.895,,,,,
5/18/2015,77.855,,,,,
5/19/2015,77.855,,,,,
5/20/2015,77.875,,,,,
5/21/2015,77.875,,,,,
5/22/2015,77.875,,,,,
5/25/2015,77.875,,,,,
5/26/2015,77.845,,,,,
5/27/2015,77.875,,,,,
5/28/2015,77.875,,,,,
5/29/2015,77.875,,,,,
6/1/2015,77.875,,,,,
6/2/2015,77.875,,,,,
6/3/2015,77.875,,,,,
6/4/2015,77.875,,,,,
6/5/2015,77.875,,,,,
6/8/2015,77.78,,,,,
6/9/2015,77.825,,,,,
6/10/2015,77.875,,,,,
6/11/2015,77.805,,,,,
6/12/2015,77.775,,,,,
6/15/2015,77.805,,,,,
6/16/2015,77.855,,,,,
6/17/2015,77.78,,,,,
6/18/2015,77.855,,,,,
6/19/2015,77.855,,,,,
6/22/2015,77.835,,,,,
6/23/2015,77.865,,,,,
6/24/2015,77.855,,,,,
6/25/2015,77.805,,,,,
6/26/2015,77.845,,,,,
6/29/2015,77.855,,,,,
6/30/2015,77.855,,,,,
7/1/2015,77.8,,,,,
7/2/2015,77.855,,,,,
7/3/2015,77.865,,,,,
7/6/2015,77.85,,,,,
7/7/2015,77.875,,,,,
7/8/2015,77.815,,,,,
7/9/2015,77.875,,,,,
7/10/2015,77.855,,,,,
7/13/2015,77.825,,,,,
7/14/2015,77.825,,,,,
7/15/2015,77.815,,,,,
7/16/2015,77.845,,,,,
7/17/2015,77.815,,,,,
7/20/2015,77.795,,,,,
7/21/2015,77.755,,,,,
7/22/2015,77.845,,,,,
7/23/2015,77.85,,,,,
7/24/2015,77.75,,,,,
7/27/2015,77.755,,,,,
7/28/2015,77.755,,,,,
7/29/2015,77.825,,,,,
7/30/2015,77.855,,,,,
7/31/2015,77.875,,,,,
8/3/2015,77.895,,,,,
8/4/2015,77.875,,,,,
8/5/2015,77.905,,,,,
8/6/2015,77.875,,,,,
8/7/2015,77.865,,,,,
8/10/2015,77.855,,,,,
8/11/2015,77.845,,,,,
8/12/2015,77.845,,,,,
8/13/2015,77.855,,,,,
8/14/2015,77.855,,,,,
8/17/2015,77.865,,,,,
8/18/2015,77.855,,,,,
8/19/2015,77.875,,,,,
8/20/2015,77.88,,,,,
8/21/2015,77.845,,,,,
8/24/2015,77.855,,,,,
8/25/2015,77.875,,,,,
8/26/2015,77.875,,,,,
8/27/2015,77.855,,,,,
8/28/2015,77.905,,,,,
8/31/2015,77.875,,,,,
9/1/2015,77.875,,,,,
9/2/2015,77.855,,,,,
9/3/2015,77.855,,,,,
9/4/2015,77.875,,,,,
9/7/2015,77.865,,,,,
9/8/2015,77.88,,,,,
9/9/2015,77.855,,,,,
9/10/2015,77.895,,,,,
9/11/2015,77.875,,,,,
9/14/2015,77.855,,,,,
9/15/2015,77.81,,,,,
9/16/2015,77.855,,,,,
9/17/2015,77.855,,,,,
9/18/2015,77.875,,,,,
9/21/2015,77.875,,,,,
9/22/2015,77.865,,,,,
9/23/2015,77.845,,,,,
9/24/2015,77.875,,,,,
9/25/2015,77.855,,,,,
9/28/2015,77.875,,,,,
9/29/2015,77.775,,,,,
9/30/2015,77.875,,,,,
10/1/2015,77.855,,,,,
10/2/2015,77.875,,,,,
10/5/2015,77.875,,,,,
10/6/2015,77.825,,,,,
10/7/2015,77.45,,,,,
10/8/2015,77.755,,,,,
10/9/2015,77.775,,,,,
10/12/2015,77.755,,,,,
10/13/2015,77.875,,,,,
10/14/2015,77.845,,,,,
10/15/2015,77.83,,,,,
10/16/2015,77.875,,,,,
10/19/2015,77.875,,,,,
10/20/2015,77.855,,,,,
10/21/2015,77.875,,,,,
10/22/2015,77.875,,,,,
10/23/2015,77.875,,,,,
10/26/2015,77.89,,,,,
10/27/2015,77.855,,,,,
10/28/2015,77.885,,,,,
10/29/2015,77.845,,,,,
10/30/2015,77.88,,,,,
11/2/2015,77.875,,,,,
11/3/2015,78.25,,,,,
11/4/2015,78.205,,,,,
11/5/2015,78.26,,,,,
11/6/2015,78.175,,,,,
11/9/2015,78.145,,,,,
11/10/2015,78.105,,,,,
11/11/2015,78.095,,,,,
11/12/2015,78.075,,,,,
11/13/2015,78.055,,,,,
11/16/2015,78.065,,,,,
11/17/2015,77.505,,,,,
11/18/2015,77.475,,,,,
11/19/2015,77.455,,,,,
11/20/2015,77.455,,,,,
11/23/2015,77.425,,,,,
11/24/2015,77.395,,,,,
11/25/2015,77.375,,,,,
11/26/2015,77.375,,,,,
11/27/2015,78.125,,,,,
11/30/2015,78.095,,,,,
12/1/2015,78.095,,,,,
12/2/2015,78.635,,,,,
12/3/2015,78.225,,,,,
12/4/2015,78.205,,,,,
12/7/2015,78.155,,,,,
12/8/2015,78.125,,,,,
12/9/2015,78.125,,,,,
12/10/2015,78.225,,,,,
12/11/2015,78.195,,,,,
12/14/2015,78.47,,,,,
12/15/2015,78.365,,,,,
12/16/2015,78.105,,,,,
12/17/2015,78.225,,,,,
12/18/2015,78.195,,,,,
12/21/2015,78.175,,,,,
12/22/2015,78.145,,,,,
12/23/2015,78.625,,,,,
12/24/2015,78.605,,,,,
12/25/2015,78.605,,,,,
12/28/2015,78.245,,,,,
12/29/2015,78.225,,,,,
12/30/2015,78.205,,,,,
12/31/2015,78.205,,,,,
1/1/2016,78.205,,,,,
1/4/2016,78.495,,,,,
1/5/2016,78.455,,,,,
1/6/2016,78.505,,,,,
1/7/2016,78.425,,,,,
1/8/2016,78.395,,,,,
1/11/2016,78.455,,,,,
1/12/2016,78.395,,,,,
1/13/2016,78.475,,,,,
1/14/2016,78.555,,,,,
1/15/2016,78.545,,,,,
1/18/2016,78.525,,,,,
1/19/2016,78.555,,,,,
1/20/2016,78.555,,,,,
1/21/2016,78.505,,,,,
1/22/2016,78.475,,,,,
1/25/2016,78.525,,,,,
1/26/2016,78.475,,,,,
1/27/2016,78.455,,,,,
1/28/2016,78.475,,,,,
1/29/2016,78.455,,,,,
2/1/2016,78.425,,,,,
2/2/2016,78.655,,,,,
2/3/2016,78.645,,,,,
2/4/2016,78.605,,,,,
2/5/2016,78.595,,,,,
2/8/2016,78.805,,,,,
2/9/2016,78.775,,,,,
2/10/2016,78.705,,,,,
2/11/2016,78.695,,,,,
2/12/2016,78.525,,,,,
2/15/2016,78.525,,,,,
2/16/2016,78.505,,,,,
2/17/2016,78.525,,,,,
2/18/2016,78.625,,,,,
2/19/2016,78.525,,,,,
2/22/2016,78.595,,,,,
2/23/2016,78.485,,,,,
2/24/2016,78.495,,,,,
2/25/2016,78.475,,,,,
2/26/2016,78.455,,,,,
2/29/2016,78.57,,,,,
3/1/2016,78.445,,,,,
3/2/2016,78.505,,,,,
3/3/2016,78.495,,,,,
3/4/2016,78.485,,,,,
3/7/2016,78.47,,,,,
3/8/2016,78.455,,,,,
3/9/2016,78.445,,,,,
3/10/2016,78.455,,,,,
3/11/2016,78.445,,,,,
3/14/2016,78.425,,,,,
3/15/2016,78.405,,,,,
3/16/2016,78.395,,,,,
3/17/2016,78.385,,,,,
3/18/2016,78.375,,,,,
3/21/2016,78.355,,,,,
3/22/2016,78.335,,,,,
3/23/2016,78.325,,,,,
3/24/2016,78.455,,,,,
3/25/2016,78.455,,,,,
3/28/2016,78.425,,,,,
3/29/2016,78.375,,,,,
3/30/2016,78.375,,,,,
3/31/2016,78.345,,,,,
4/1/2016,78.305,,,,,
4/4/2016,78.285,,,,,
4/5/2016,78.445,,,,,
4/6/2016,78.425,,,,,
4/7/2016,78.395,,,,,
4/8/2016,78.375,,,,,
4/11/2016,78.445,,,,,
4/12/2016,78.385,,,,,
4/13/2016,78.4,,,,,
4/14/2016,78.405,,,,,
4/15/2016,78.395,,,,,
4/18/2016,78.415,,,,,
4/19/2016,78.445,,,,,
4/20/2016,78.425,,,,,
4/21/2016,78.375,,,,,
4/22/2016,78.375,,,,,
4/25/2016,78.355,,,,,
4/26/2016,78.455,,,,,
4/27/2016,78.425,,,,,
4/28/2016,78.445,,,,,
4/29/2016,78.395,,,,,
5/2/2016,78.395,,,,,
